Rk,Player,Pos,Tm,Cap Hit,year
,Dan Williams,DT,OAK,"$7,500,000",2016
108.0,Terrell Suggs,LB-DE,BAL,"$7,450,000",2016
109.0,Mike Daniels,DT,GNB,"$7,400,000",2016
,Jairus Byrd,DB,NOR,"$7,400,000",2016
111.0,Elvis Dumervil,DE,BAL,"$7,375,000",2016
112.0,Michael Floyd,WR,2TM,"$7,320,000",2016
,Kendall Wright,WR,TEN,"$7,320,000",2016
114.0,Julius Thomas,TE,JAX,"$7,300,000",2016
115.0,Orlando Franklin,OL,SDG,"$7,200,000",2016
116.0,Carson Palmer,QB,ARI,"$7,150,000",2016
117.0,Muhammad Wilkerson,DT,NYJ,"$7,000,000",2016
,Johnathan Joseph,DB,HOU,"$7,000,000",2016
119.0,Lamarr Houston,DT,CHI,"$6,990,000",2016
120.0,Tyrod Taylor,QB,BUF,"$6,919,573",2016
121.0,Everson Griffen,DE,MIN,"$6,900,000",2016
122.0,Eric Fisher,OT,KAN,"$6,854,636",2016
123.0,Derek Wolfe,DT,DEN,"$6,800,000",2016
124.0,Michael Mitchell,DB,PIT,"$6,763,750",2016
125.0,Alterraun Verner,DB,TAM,"$6,750,000",2016
,Connor Barwin,DE,PHI,"$6,750,000",2016
,Trent Williams,T,WAS,"$6,750,000",2016
128.0,Luke Joeckel,OT,JAX,"$6,745,963",2016
129.0,Eric Wood,C,BUF,"$6,725,000",2016
130.0,Jermey Parnell,T,JAX,"$6,500,000",2016
,Mario Williams,DE,MIA,"$6,500,000",2016
,Eric Decker,WR,NYJ,"$6,500,000",2016
133.0,Tyson Jackson,DE,ATL,"$6,350,000",2016
,Danny Trevathan,OLB,CHI,"$6,350,000",2016
135.0,Derrick Morgan,DE,TEN,"$6,312,500",2016
136.0,Delanie Walker,TE,TEN,"$6,267,708",2016
137.0,Jeff Allen,T,HOU,"$6,250,000",2016
,Kyle Williams,DT,BUF,"$6,250,000",2016
139.0,Cordy Glenn,T,BUF,"$6,200,000",2016
,Tramon Williams,DB,CLE,"$6,200,000",2016
141.0,T.J. Lang,T,GNB,"$6,181,250",2016
142.0,Dontari Poe,DT,KAN,"$6,146,000",2016
,Michael Brockers,DT,LAR,"$6,146,000",2016
