Rk,Unnamed: 1,Tm,Cap Hit,year
118.0,Sebastian Vollmer,NWE,"$7,020,833",2015
119.0,Logan Mankins,TAM,"$7,000,000",2015
,Connor Barwin,PHI,"$7,000,000",2015
,Desmond Bryant,CLE,"$7,000,000",2015
,Mike Pouncey,MIA,"$7,000,000",2015
,Sean Smith,KAN,"$7,000,000",2015
,Josh Sitton,GNB,"$7,000,000",2015
,Dez Bryant,DAL,"$7,000,000",2015
,Jahri Evans,NOR,"$7,000,000",2015
,Antonio Cromartie,NYJ,"$7,000,000",2015
128.0,Lamarr Houston,CHI,"$6,990,000",2015
129.0,Cortez Allen,PIT,"$6,981,000",2015
130.0,Muhammad Wilkerson,NYJ,"$6,969,000",2015
131.0,Aqib Talib,DEN,"$6,968,750",2015
132.0,Vernon Davis,2TM,"$6,967,920",2015
133.0,Trent Cole,IND,"$6,953,125",2015
134.0,Kyle Williams,BUF,"$6,950,000",2015
135.0,Anquan Boldin,SFO,"$6,909,000",2015
136.0,Prince Amukamara,NYG,"$6,898,000",2015
137.0,Paul Posluszny,JAX,"$6,885,416",2015
138.0,Donte Whitner,CLE,"$6,750,000",2015
139.0,Jurrell Casey,TEN,"$6,720,000",2015
140.0,Mike Iupati,ARI,"$6,700,000",2015
141.0,Pernell McPhee,CHI,"$6,675,000",2015
142.0,Eric Wood,BUF,"$6,650,000",2015
143.0,Davon House,JAX,"$6,500,000",2015
,Tramon Williams,CLE,"$6,500,000",2015
,Marques Colston,NOR,"$6,500,000",2015
,Eric Decker,NYJ,"$6,500,000",2015
,Curtis Lofton,OAK,"$6,500,000",2015
148.0,Kyle Rudolph,MIN,"$6,440,625",2015
149.0,Cameron Heyward,PIT,"$6,400,000",2015
,Austin Howard,OAK,"$6,400,000",2015
151.0,Andre Smith,CIN,"$6,362,500",2015
152.0,Greg Olsen,CAR,"$6,300,000",2015
153.0,Matt Kalil,MIN,"$6,290,644",2015
154.0,Louis Vasquez,DEN,"$6,250,000",2015
155.0,Ryan Kerrigan,WAS,"$6,238,000",2015
156.0,Andrew Whitworth,CIN,"$6,200,000",2015
157.0,Jerry Hughes,BUF,"$6,175,000",2015
158.0,Martellus Bennett,CHI,"$6,125,000",2015
159.0,Lavonte David,TAM,"$6,104,642",2015
160.0,Jerod Mayo,NWE,"$6,100,000",2015
,Ndamukong Suh,MIA,"$6,100,000",2015
162.0,Eric Fisher,KAN,"$6,051,954",2015
163.0,Brandon Graham,PHI,"$6,000,000",2015
,Devin McCourty,NWE,"$6,000,000",2015
165.0,Emmanuel Sanders,DEN,"$5,850,000",2015
166.0,Greg Toler,IND,"$5,833,334",2015
167.0,T.J. Lang,GNB,"$5,800,000",2015
,Stephen Tulloch,DET,"$5,800,000",2015
169.0,Luke Joeckel,JAX,"$5,782,254",2015
170.0,D'Qwell Jackson,IND,"$5,750,000",2015
171.0,Brandon Mebane,SEA,"$5,700,000",2015
172.0,Malcolm Jenkins,PHI,"$5,666,666",2015
173.0,Brian Robison,MIN,"$5,650,000",2015
,Kam Chancellor,SEA,"$5,650,000",2015
175.0,Nate Solder,NWE,"$5,604,666",2015
176.0,Lance Kendricks,STL,"$5,600,000",2015
177.0,Chad Greenway,MIN,"$5,575,000",2015
178.0,Jairus Byrd,NOR,"$5,500,000",2015
,LeSean McCoy,BUF,"$5,500,000",2015
,Eddie Royal,CHI,"$5,500,000",2015
,Karlos Dansby,CLE,"$5,500,000",2015
182.0,Donald Butler,SDG,"$5,480,000",2015
183.0,Sean Lee,DAL,"$5,450,000",2015
184.0,Sen'Derrick Marks,JAX,"$5,425,000",2015
185.0,Donald Penn,OAK,"$5,400,000",2015
186.0,Randall Cobb,GNB,"$5,350,000",2015
,Jerraud Powers,ARI,"$5,350,000",2015
188.0,Delanie Walker,TEN,"$5,275,000",2015
189.0,Derrick Johnson,KAN,"$5,250,000",2015
190.0,Lane Johnson,PHI,"$5,225,974",2015
191.0,Brian Hoyer,HOU,"$5,218,750",2015
192.0,Jason Hatcher,WAS,"$5,203,125",2015
193.0,Morris Claiborne,DAL,"$5,175,069",2015
194.0,Vontaze Burfict,CIN,"$5,175,000",2015
195.0,Morgan Burnett,GNB,"$5,131,250",2015
196.0,Breno Giacomini,NYJ,"$5,125,000",2015
197.0,Justin Houston,KAN,"$5,100,000",2015
,Clint Boling,CIN,"$5,100,000",2015
199.0,Ezekiel Ansah,DET,"$5,071,232",2015
200.0,Jadeveon Clowney,HOU,"$5,062,045",2015
201.0,Tyron Smith,DAL,"$5,039,000",2015
202.0,Andrew Hawkins,CLE,"$5,000,000",2015
,Antrel Rolle,CHI,"$5,000,000",2015
,DeMarco Murray,PHI,"$5,000,000",2015
,Zane Beadles,JAX,"$5,000,000",2015
,Charles Clay,BUF,"$5,000,000",2015
,Chris Clemons,JAX,"$5,000,000",2015
208.0,Justin Tuck,OAK,"$4,968,750",2015
209.0,Tamba Hali,KAN,"$4,964,706",2015
210.0,Carlos Dunlap,CIN,"$4,900,000",2015
,Leodis McKelvin,BUF,"$4,900,000",2015
212.0,Ryan Tannehill,MIA,"$4,873,364",2015
213.0,Greg Robinson,STL,"$4,837,295",2015
214.0,DeAngelo Hall,WAS,"$4,812,500",2015
215.0,Riley Cooper,PHI,"$4,800,000",2015
,Chase Daniel,KAN,"$4,800,000",2015
,Brent Celek,PHI,"$4,800,000",2015
218.0,Reggie Nelson,CIN,"$4,775,000",2015
219.0,K.J. Wright,SEA,"$4,750,000",2015
,Nick Fairley,STL,"$4,750,000",2015
,Rob Ninkovich,NWE,"$4,750,000",2015
,Antoine Bethea,SFO,"$4,750,000",2015
223.0,Malcom Floyd,SDG,"$4,716,668",2015
224.0,Blake Bortles,JAX,"$4,694,275",2015
225.0,Sammie Lee Hill,TEN,"$4,666,668",2015
226.0,Cary Williams,2TM,"$4,666,666",2015
227.0,Julian Edelman,NWE,"$4,656,250",2015
228.0,Doug Baldwin,SEA,"$4,650,000",2015
229.0,Jameis Winston,TAM,"$4,609,323",2015
230.0,Linval Joseph,MIN,"$4,600,000",2015
,Dan Skuta,JAX,"$4,600,000",2015
,Orlando Franklin,SDG,"$4,600,000",2015
233.0,Jordan Cameron,MIA,"$4,562,500",2015
234.0,Sammy Watkins,BUF,"$4,530,819",2015
235.0,Dwayne Bowe,CLE,"$4,500,000",2015
,Earl Mitchell,MIA,"$4,500,000",2015
,Frank Gore,IND,"$4,500,000",2015
,Keenan Lewis,NOR,"$4,500,000",2015
,Derek Newton,HOU,"$4,500,000",2015
240.0,William Hayes,STL,"$4,480,000",2015
241.0,Brian Orakpo,TEN,"$4,468,750",2015
242.0,Barkevious Mingo,CLE,"$4,458,273",2015
243.0,Corey Graham,BUF,"$4,450,000",2015
244.0,Koa Misi,MIA,"$4,438,000",2015
245.0,Marcus Mariota,TEN,"$4,402,541",2015
246.0,Jason Kelce,PHI,"$4,400,000",2015
,DeAndre Levy,DET,"$4,400,000",2015
248.0,Mike Scifres,SDG,"$4,347,500",2015
249.0,Captain Munnerlyn,MIN,"$4,333,333",2015
250.0,Kory Lichtensteiger,WAS,"$4,300,000",2015
,Kenny Britt,STL,"$4,300,000",2015
252.0,James Laurinaitis,STL,"$4,275,000",2015
253.0,Brandon Flowers,SDG,"$4,250,000",2015
,Mike Neal,GNB,"$4,250,000",2015
,Bruce Carter,TAM,"$4,250,000",2015
,Erik Walden,IND,"$4,250,000",2015
,Stephen Paea,WAS,"$4,250,000",2015
,Kendall Langford,IND,"$4,250,000",2015
,Alterraun Verner,TAM,"$4,250,000",2015
260.0,Khalil Mack,OAK,"$4,244,773",2015
261.0,Charles Woodson,OAK,"$4,200,000",2015
262.0,Cameron Jordan,NOR,"$4,169,000",2015
263.0,Steve Smith,BAL,"$4,166,666",2015
264.0,Jon Beason,NYG,"$4,154,166",2015
265.0,Heath Miller,PIT,"$4,151,666",2015
266.0,Phil Dawson,SFO,"$4,134,000",2015
267.0,King Dunlap,SDG,"$4,125,000",2015
268.0,Amari Cooper,OAK,"$4,120,566",2015
269.0,Darren Sproles,PHI,"$4,100,000",2015
270.0,Donald Brown,SDG,"$4,083,333",2015
271.0,Chris Culliver,WAS,"$4,073,529",2015
272.0,Perry Riley,WAS,"$4,049,804",2015
273.0,Nick Foles,STL,"$4,042,000",2015
274.0,David Hawthorne,NOR,"$4,010,000",2015
275.0,Luke Kuechly,CAR,"$4,002,283",2015
276.0,Terrance Knighton,WAS,"$4,000,000",2015
,Derrick Morgan,TEN,"$4,000,000",2015
,Shawn Lauvao,WAS,"$4,000,000",2015
,Percy Harvin,BUF,"$4,000,000",2015
,Jabaal Sheard,NWE,"$4,000,000",2015
,Malcolm Smith,OAK,"$4,000,000",2015
,Dashon Goldson,WAS,"$4,000,000",2015
283.0,Jason Jones,DET,"$3,983,333",2015
284.0,Evander Hood,CHI,"$3,975,000",2015
285.0,Jonathan Cooper,ARI,"$3,967,910",2015
286.0,Terrell Suggs,BAL,"$3,950,000",2015
287.0,Garrett Graham,HOU,"$3,921,875",2015
288.0,Josh McCown,CLE,"$3,916,666",2015
289.0,Aaron Williams,BUF,"$3,900,000",2015
290.0,Daryl Smith,BAL,"$3,875,000",2015
291.0,Drew Stanton,ARI,"$3,866,668",2015
292.0,Brandon Scherff,WAS,"$3,857,388",2015
293.0,Roy Miller,JAX,"$3,850,000",2015
,Sean Weatherspoon,ARI,"$3,850,000",2015
,Marcedes Lewis,JAX,"$3,850,000",2015
296.0,Stephon Gilmore,BUF,"$3,844,959",2015
297.0,Dustin Colquitt,KAN,"$3,800,000",2015
,Brandon Pettigrew,DET,"$3,800,000",2015
299.0,Andre Roberts,WAS,"$3,750,000",2015
,Evan Dietrich-Smith,TAM,"$3,750,000",2015
,Mark Sanchez,PHI,"$3,750,000",2015
,Henry Melton,TAM,"$3,750,000",2015
303.0,Alex Boone,SFO,"$3,723,000",2015
304.0,Jeremy Zuttah,BAL,"$3,700,000",2015
,Domata Peko,CIN,"$3,700,000",2015
306.0,Da'Norris Searcy,TEN,"$3,625,000",2015
307.0,Ropati Pitoitua,TEN,"$3,612,500",2015
308.0,Sebastian Janikowski,OAK,"$3,610,000",2015
309.0,Dontari Poe,KAN,"$3,601,822",2015
310.0,Jimmy Smith,BAL,"$3,600,000",2015
,Robbie Gould,CHI,"$3,600,000",2015
,Stephen Gostkowski,NWE,"$3,600,000",2015
,Torrey Smith,SFO,"$3,600,000",2015
314.0,Marcel Reece,OAK,"$3,580,838",2015
315.0,Glover Quin,DET,"$3,572,500",2015
316.0,Bryan Bulaga,GNB,"$3,568,750",2015
317.0,Mason Crosby,GNB,"$3,550,000",2015
318.0,Wesley Woodyard,TEN,"$3,500,000",2015
,Brandon LaFell,NWE,"$3,500,000",2015
,Joique Bell,DET,"$3,500,000",2015
,William Moore,ATL,"$3,500,000",2015
,Vince Wilfork,HOU,"$3,500,000",2015
323.0,Brandon Fusco,MIN,"$3,485,000",2015
324.0,Tavon Austin,STL,"$3,477,546",2015
325.0,Dee Milliner,NYJ,"$3,453,010",2015
326.0,Mike Tolbert,CAR,"$3,425,000",2015
327.0,Jeremy Maclin,KAN,"$3,400,000",2015
,Thomas Morstead,NOR,"$3,400,000",2015
329.0,Leonard Williams,NYJ,"$3,387,430",2015
330.0,Dexter McCluster,TEN,"$3,350,000",2015
,Lee Smith,OAK,"$3,350,000",2015
,Erik Pears,SFO,"$3,350,000",2015
333.0,Perrish Cox,TEN,"$3,333,333",2015
334.0,Mike Evans,TAM,"$3,325,341",2015
335.0,Steven Hauschka,SEA,"$3,325,000",2015
336.0,Chance Warmack,TEN,"$3,318,177",2015
337.0,Matt Slauson,CHI,"$3,267,500",2015
338.0,Fletcher Cox,PHI,"$3,258,036",2015
339.0,Marcus Gilbert,PIT,"$3,256,000",2015
340.0,Shaun Hill,MIN,"$3,250,000",2015
,Ryan Fitzpatrick,NYJ,"$3,250,000",2015
,Barry Church,DAL,"$3,250,000",2015
,Clinton McDonald,TAM,"$3,250,000",2015
,Walter Thurmond,PHI,"$3,250,000",2015
345.0,Allen Bailey,KAN,"$3,231,250",2015
346.0,Zach Strief,NOR,"$3,200,000",2015
,Michael Crabtree,OAK,"$3,200,000",2015
,Shareece Wright,BAL,"$3,200,000",2015
,Pat McAfee,IND,"$3,200,000",2015
350.0,Ryan Mallett,2TM,"$3,187,500",2015
351.0,Michael Floyd,ARI,"$3,172,750",2015
352.0,Willie Young,CHI,"$3,166,666",2015
353.0,T.Y. Hilton,IND,"$3,131,850",2015
354.0,Marcus Gilchrist,NYJ,"$3,125,000",2015
355.0,Danny Amendola,NWE,"$3,116,666",2015
356.0,D.J. Fluker,SDG,"$3,109,771",2015
357.0,Jermaine Gresham,ARI,"$3,109,375",2015
358.0,Manny Lawson,BUF,"$3,100,000",2015
,Graham Gano,CAR,"$3,100,000",2015
,Mike Adams,IND,"$3,100,000",2015
,Vincent Rey,CIN,"$3,100,000",2015
362.0,Golden Tate,DET,"$3,096,250",2015
363.0,Joe Reitz,IND,"$3,062,500",2015
364.0,Greg Hardy,DAL,"$3,041,379",2015
365.0,Michael Brockers,STL,"$3,029,727",2015
366.0,Mychal Kendricks,PHI,"$3,014,141",2015
367.0,Rahim Moore,HOU,"$3,000,000",2015
,Matt Hasselbeck,IND,"$3,000,000",2015
,Chris Harris,DEN,"$3,000,000",2015
,Max Unger,NOR,"$3,000,000",2015
,Paul Soliai,ATL,"$3,000,000",2015
,Aldon Smith,OAK,"$3,000,000",2015
,Toby Gerhart,JAX,"$3,000,000",2015
,Doug Free,DAL,"$3,000,000",2015
,Alan Ball,CHI,"$3,000,000",2015
,Tyson Alualu,JAX,"$3,000,000",2015
,Manuel Ramirez,DET,"$3,000,000",2015
,DeMeco Ryans,PHI,"$3,000,000",2015
379.0,Chris Baker,WAS,"$2,984,375",2015
380.0,Whitney Mercilus,HOU,"$2,979,030",2015
381.0,Bobby Wagner,SEA,"$2,970,663",2015
382.0,Randy Starks,CLE,"$2,968,750",2015
383.0,Evan Mathis,DEN,"$2,921,875",2015
,Akeem Ayers,STL,"$2,921,875",2015
385.0,Justin Gilbert,CLE,"$2,916,705",2015
386.0,Nolan Carroll,PHI,"$2,900,000",2015
387.0,Anthony Barr,MIN,"$2,896,250",2015
388.0,Bruce Irvin,SEA,"$2,895,542",2015
389.0,Devin Hester,ATL,"$2,875,000",2015
390.0,Geoff Schwartz,NYG,"$2,845,833",2015
391.0,John Greco,CLE,"$2,825,000",2015
392.0,Mackenzy Bernadeau,DAL,"$2,824,166",2015
393.0,D.J. Hayden,OAK,"$2,815,554",2015
394.0,Rashad Jennings,NYG,"$2,812,500",2015
395.0,Steve McLendon,PIT,"$2,808,334",2015
396.0,Quinton Coples,2TM,"$2,800,889",2015
397.0,Tramaine Brock,SFO,"$2,790,000",2015
398.0,Eric Ebron,DET,"$2,783,898",2015
399.0,Kevin Huber,CIN,"$2,770,000",2015
400.0,Buster Skrine,NYJ,"$2,750,000",2015
,Chris Ivory,NYJ,"$2,750,000",2015
,Adam Vinatieri,IND,"$2,750,000",2015
,George Johnson,TAM,"$2,750,000",2015
,Owen Daniels,DEN,"$2,750,000",2015
405.0,Dre Kirkpatrick,CIN,"$2,743,680",2015
406.0,Melvin Ingram,SDG,"$2,672,166",2015
407.0,Rolando McClain,DAL,"$2,636,029",2015
408.0,Shea McClellin,CHI,"$2,629,263",2015
409.0,Mike DeVito,KAN,"$2,620,000",2015
410.0,Star Lotulelei,CAR,"$2,619,409",2015
411.0,Ereck Flowers,NYG,"$2,616,676",2015
412.0,Marcus Cannon,NWE,"$2,616,666",2015
413.0,Kendall Wright,TEN,"$2,614,962",2015
414.0,Taylor Lewan,TEN,"$2,610,228",2015
415.0,Chandler Jones,NWE,"$2,600,659",2015
416.0,Michael Johnson,CIN,"$2,600,000",2015
,Al Woods,TEN,"$2,600,000",2015
,Ahtyba Rubin,SEA,"$2,600,000",2015
,Jeremy Kerley,NYJ,"$2,600,000",2015
,Matt Moore,MIA,"$2,600,000",2015
421.0,Kenny Vaccaro,NOR,"$2,570,376",2015
422.0,Adam Jones,CIN,"$2,550,000",2015
,Sean Richardson,GNB,"$2,550,000",2015
424.0,Riley Reiff,DET,"$2,543,450",2015
425.0,Shane Vereen,NYG,"$2,516,666",2015
426.0,Todd Gurley,STL,"$2,513,306",2015
427.0,Michael Mitchell,PIT,"$2,508,750",2015
428.0,Gosder Cherilus,TAM,"$2,500,000",2015
,Greg Jennings,MIA,"$2,500,000",2015
,Stefen Wisniewski,JAX,"$2,500,000",2015
,Charlie Whitehurst,2TM,"$2,500,000",2015
,Cam Thomas,PIT,"$2,500,000",2015
,Sergio Brown,JAX,"$2,500,000",2015
,Darius Butler,IND,"$2,500,000",2015
,Danny Woodhead,SDG,"$2,500,000",2015
,Dan Bailey,DAL,"$2,500,000",2015
,Josh Scobee,PIT,"$2,500,000",2015
,Demar Dotson,TAM,"$2,500,000",2015
439.0,David DeCastro,PIT,"$2,486,240",2015
440.0,Letroy Guion,GNB,"$2,485,294",2015
441.0,Dont'a Hightower,NWE,"$2,457,637",2015
442.0,Terence Newman,MIN,"$2,453,125",2015
,Cecil Shorts,HOU,"$2,453,125",2015
444.0,Robert Ayers,NYG,"$2,437,500",2015
445.0,Ted Larsen,ARI,"$2,435,000",2015
446.0,Sheldon Richardson,NYJ,"$2,431,647",2015
447.0,EJ Manuel,BUF,"$2,423,264",2015
448.0,Michael Oher,CAR,"$2,421,875",2015
449.0,Will Hill,BAL,"$2,416,045",2015
450.0,Reggie Bush,SFO,"$2,406,250",2015
451.0,Kevin Zeitler,CIN,"$2,400,427",2015
452.0,Sam Koch,BAL,"$2,400,000",2015
,Ryan Wendell,NWE,"$2,400,000",2015
,Ben Grubbs,KAN,"$2,400,000",2015
,Brandon Browner,NOR,"$2,400,000",2015
456.0,Eugene Sims,STL,"$2,391,686",2015
457.0,Nick Perry,GNB,"$2,386,125",2015
458.0,James Carpenter,NYJ,"$2,375,000",2015
459.0,Jarvis Jones,PIT,"$2,374,228",2015
460.0,Johnny Hekker,STL,"$2,373,773",2015
461.0,Odell Beckham,NYG,"$2,365,045",2015
462.0,Mark Barron,STL,"$2,362,704",2015
463.0,Dan Carpenter,BUF,"$2,362,500",2015
464.0,Derrick Shelby,MIA,"$2,356,000",2015
,Rodney McLeod,STL,"$2,356,000",2015
,Cedric Thornton,PHI,"$2,356,000",2015
,Rod Streater,OAK,"$2,356,000",2015
,Damon Harrison,NYJ,"$2,356,000",2015
,T.J. McDonald,STL,"$2,356,000",2015
,Jerrell Freeman,IND,"$2,356,000",2015
,Emmanuel Lamur,CIN,"$2,356,000",2015
,Justin Tucker,BAL,"$2,356,000",2015
,Tashaun Gipson,CLE,"$2,356,000",2015
,Craig Robertson,CLE,"$2,356,000",2015
,Jermaine Kearse,SEA,"$2,356,000",2015
476.0,Trae Waynes,MIN,"$2,353,520",2015
477.0,Britton Colquitt,DEN,"$2,350,000",2015
478.0,Glenn Dorsey,SFO,"$2,341,666",2015
479.0,Eric Reid,SFO,"$2,312,931",2015
480.0,Aaron Donald,STL,"$2,303,750",2015
481.0,Tom Johnson,MIN,"$2,300,000",2015
482.0,Harry Douglas,TEN,"$2,283,333",2015
483.0,Justin Pugh,NYG,"$2,276,154",2015
484.0,Harrison Smith,MIN,"$2,271,355",2015
485.0,Craig Stevens,TEN,"$2,270,000",2015
486.0,Kyle Long,CHI,"$2,263,896",2015
487.0,Tyler Eifert,CIN,"$2,251,637",2015
488.0,Jonathan Babineaux,ATL,"$2,250,000",2015
,Scott Chandler,NWE,"$2,250,000",2015
,Jimmy Wilson,SDG,"$2,250,000",2015
,Brian Hartline,CLE,"$2,250,000",2015
,Tyson Jackson,ATL,"$2,250,000",2015
,Jeremy Mincey,DAL,"$2,250,000",2015
,Calvin Pace,NYJ,"$2,250,000",2015
495.0,Blair Walsh,MIN,"$2,239,483",2015
496.0,Rashad Johnson,ARI,"$2,233,334",2015
497.0,Miles Austin,PHI,"$2,225,000",2015
498.0,Sharrif Floyd,MIN,"$2,202,600",2015
499.0,Kyle Fuller,CHI,"$2,201,591",2015
500.0,Roddy White,ATL,"$2,200,000",2015
,Brooks Reed,ATL,"$2,200,000",2015
,Virgil Green,DEN,"$2,200,000",2015
,Kraig Urbik,BUF,"$2,200,000",2015
504.0,Frostee Rucker,ARI,"$2,181,875",2015
505.0,Ryan Shazier,PIT,"$2,160,730",2015
506.0,Doug Martin,TAM,"$2,159,668",2015
507.0,Bjoern Werner,IND,"$2,153,562",2015
508.0,Alan Branch,NWE,"$2,150,000",2015
,Ramon Foster,PIT,"$2,150,000",2015
510.0,Bradley Fletcher,NWE,"$2,131,250",2015
511.0,Xavier Rhodes,MIN,"$2,129,046",2015
512.0,Danny Shelton,CLE,"$2,127,939",2015
513.0,Steve Johnson,SDG,"$2,100,000",2015
,Roy Helu,OAK,"$2,100,000",2015
515.0,Joe Barksdale,SDG,"$2,095,000",2015
516.0,Cullen Jenkins,NYG,"$2,091,668",2015
517.0,Shane Lechler,HOU,"$2,083,334",2015
518.0,Donnie Jones,PHI,"$2,083,333",2015
519.0,DeAndre Hopkins,HOU,"$2,080,010",2015
520.0,Andrus Peat,NOR,"$2,071,544",2015
521.0,Sylvester Williams,DEN,"$2,067,750",2015
522.0,Wallace Gilberry,CIN,"$2,050,000",2015
,Andy Lee,CLE,"$2,050,000",2015
524.0,Datone Jones,GNB,"$2,039,436",2015
525.0,Zack Martin,DAL,"$2,038,136",2015
