Rk,Unnamed: 1,Tm,Cap Hit
178.0,Jairus Byrd,NOR,"$5,500,000"
,LeSean McCoy,BUF,"$5,500,000"
,Eddie Royal,CHI,"$5,500,000"
,Karlos Dansby,CLE,"$5,500,000"
182.0,Donald Butler,SDG,"$5,480,000"
183.0,Sean Lee,DAL,"$5,450,000"
184.0,Sen'Derrick Marks,JAX,"$5,425,000"
185.0,Donald Penn,OAK,"$5,400,000"
186.0,Randall Cobb,GNB,"$5,350,000"
,Jerraud Powers,ARI,"$5,350,000"
188.0,Delanie Walker,TEN,"$5,275,000"
189.0,Derrick Johnson,KAN,"$5,250,000"
190.0,Lane Johnson,PHI,"$5,225,974"
191.0,Brian Hoyer,HOU,"$5,218,750"
192.0,Jason Hatcher,WAS,"$5,203,125"
193.0,Morris Claiborne,DAL,"$5,175,069"
194.0,Vontaze Burfict,CIN,"$5,175,000"
195.0,Morgan Burnett,GNB,"$5,131,250"
196.0,Breno Giacomini,NYJ,"$5,125,000"
197.0,Justin Houston,KAN,"$5,100,000"
,Clint Boling,CIN,"$5,100,000"
199.0,Ezekiel Ansah,DET,"$5,071,232"
200.0,Jadeveon Clowney,HOU,"$5,062,045"
201.0,Tyron Smith,DAL,"$5,039,000"
202.0,Andrew Hawkins,CLE,"$5,000,000"
,Antrel Rolle,CHI,"$5,000,000"
,DeMarco Murray,PHI,"$5,000,000"
,Zane Beadles,JAX,"$5,000,000"
,Charles Clay,BUF,"$5,000,000"
,Chris Clemons,JAX,"$5,000,000"
208.0,Justin Tuck,OAK,"$4,968,750"
209.0,Tamba Hali,KAN,"$4,964,706"
210.0,Carlos Dunlap,CIN,"$4,900,000"
,Leodis McKelvin,BUF,"$4,900,000"
212.0,Ryan Tannehill,MIA,"$4,873,364"
213.0,Greg Robinson,STL,"$4,837,295"
214.0,DeAngelo Hall,WAS,"$4,812,500"
215.0,Riley Cooper,PHI,"$4,800,000"
,Chase Daniel,KAN,"$4,800,000"
,Brent Celek,PHI,"$4,800,000"
218.0,Reggie Nelson,CIN,"$4,775,000"
219.0,K.J. Wright,SEA,"$4,750,000"
,Nick Fairley,STL,"$4,750,000"
,Rob Ninkovich,NWE,"$4,750,000"
,Antoine Bethea,SFO,"$4,750,000"
223.0,Malcom Floyd,SDG,"$4,716,668"
224.0,Blake Bortles,JAX,"$4,694,275"
225.0,Sammie Lee Hill,TEN,"$4,666,668"
226.0,Cary Williams,2TM,"$4,666,666"
227.0,Julian Edelman,NWE,"$4,656,250"
228.0,Doug Baldwin,SEA,"$4,650,000"
229.0,Jameis Winston,TAM,"$4,609,323"
230.0,Linval Joseph,MIN,"$4,600,000"
,Dan Skuta,JAX,"$4,600,000"
,Orlando Franklin,SDG,"$4,600,000"
233.0,Jordan Cameron,MIA,"$4,562,500"
234.0,Sammy Watkins,BUF,"$4,530,819"
235.0,Dwayne Bowe,CLE,"$4,500,000"
,Earl Mitchell,MIA,"$4,500,000"
,Frank Gore,IND,"$4,500,000"
,Keenan Lewis,NOR,"$4,500,000"
,Derek Newton,HOU,"$4,500,000"
240.0,William Hayes,STL,"$4,480,000"
241.0,Brian Orakpo,TEN,"$4,468,750"
242.0,Barkevious Mingo,CLE,"$4,458,273"
243.0,Corey Graham,BUF,"$4,450,000"
244.0,Koa Misi,MIA,"$4,438,000"
245.0,Marcus Mariota,TEN,"$4,402,541"
246.0,Jason Kelce,PHI,"$4,400,000"
,DeAndre Levy,DET,"$4,400,000"
248.0,Mike Scifres,SDG,"$4,347,500"
249.0,Captain Munnerlyn,MIN,"$4,333,333"
250.0,Kory Lichtensteiger,WAS,"$4,300,000"
