Rk,Player,Pos,Tm,Salary
1.0,Kirk Cousins,QB,MIN,"$22,500,000"
2.0,Demarcus Lawrence,DE,DAL,"$17,143,000"
,Ezekiel Ansah,DE,DET,"$17,143,000"
4.0,Russell Wilson,QB,SEA,"$15,500,000"
5.0,Calais Campbell,DE,JAX,"$15,000,000"
6.0,Justin Houston,LB,KAN,"$14,750,000"
7.0,Cam Newton,QB,CAR,"$14,500,000"
8.0,Ndamukong Suh,DT,LAR,"$14,000,000"
9.0,Andy Dalton,QB,CIN,"$13,700,000"
10.0,Malik Jackson,DT,JAX,"$13,500,000"
11.0,Josh Norman,CB,WAS,"$13,300,000"
12.0,A.J. Bouye,CB,JAX,"$13,000,000"
,Alex Smith,QB,WAS,"$13,000,000"
14.0,Olivier Vernon,DE,NYG,"$12,750,000"
15.0,Chandler Jones,DE,ARI,"$12,500,000"
,Kawann Short,DT,CAR,"$12,500,000"
,DeAndre Hopkins,WR,HOU,"$12,500,000"
18.0,Anthony Barr,OLB,MIN,"$12,306,000"
,Jadeveon Clowney,DE,HOU,"$12,306,000"
20.0,Gerald McCoy,DT,TAM,"$12,250,000"
21.0,Russell Okung,T,LAC,"$12,000,000"
,Ben Roethlisberger,QB,PIT,"$12,000,000"
,Joe Flacco,QB,BAL,"$12,000,000"
,Andrew Luck,QB,IND,"$12,000,000"
25.0,Fletcher Cox,DT,PHI,"$11,500,000"
26.0,Lamarcus Joyner,CB,LAR,"$11,287,000"
27.0,Melvin Ingram,DE,LAC,"$11,250,000"
,Jason Pierre-Paul,DE,TAM,"$11,250,000"
29.0,Eric Fisher,OT,KAN,"$11,150,000"
30.0,Larry Fitzgerald,WR,ARI,"$11,000,000"
,J.J. Watt,DE,HOU,"$11,000,000"
,Aqib Talib,DB,LAR,"$11,000,000"
,Patrick Peterson,CB,ARI,"$11,000,000"
,DeSean Jackson,WR,TAM,"$11,000,000"
,T.Y. Hilton,WR,IND,"$11,000,000"
36.0,Jamie Collins,OLB,CLE,"$10,650,000"
37.0,Jurrell Casey,DL,TEN,"$10,600,000"
38.0,A.J. Green,WR,CIN,"$10,550,000"
39.0,Clay Matthews,LB,GNB,"$10,400,000"
,Xavier Rhodes,CB,MIN,"$10,400,000"
41.0,Robert Quinn,DE,MIA,"$10,333,301"
42.0,Terron Armstead,OT,NOR,"$10,200,000"
,Drew Brees,QB,NOR,"$10,200,000"
44.0,Bobby Wagner,ILB,SEA,"$10,000,000"
,Kevin Zeitler,G,CLE,"$10,000,000"
,Logan Ryan,CB,TEN,"$10,000,000"
,Tyron Smith,OT,DAL,"$10,000,000"
,Philip Rivers,QB,LAC,"$10,000,000"
,Tyrod Taylor,QB,CLE,"$10,000,000"
50.0,Marcell Dareus,DT,JAX,"$9,925,000"
51.0,Trent Williams,T,WAS,"$9,850,000"
52.0,Kelechi Osemele,T,OAK,"$9,700,000"
53.0,Matthew Stafford,QB,DET,"$9,500,000"
54.0,Ja'Wuan James,OT,MIA,"$9,341,000"
55.0,Cordy Glenn,T,CIN,"$9,250,000"
56.0,Riley Reiff,OT,MIN,"$9,100,000"
57.0,Julio Jones,WR,ATL,"$9,000,000"
,Brandon Linder,OG,JAX,"$9,000,000"
,Ryan Kerrigan,DE,WAS,"$9,000,000"
,Robert Alford,CB,ATL,"$9,000,000"
,Joe Haden,DB,PIT,"$9,000,000"
62.0,Eric Berry,DB,KAN,"$8,900,000"
63.0,Lavonte David,OLB,TAM,"$8,750,000"
64.0,Dee Ford,DE,KAN,"$8,718,000"
,C.J. Mosley,ILB,BAL,"$8,718,000"
,Deone Bucannon,SS,ARI,"$8,718,000"
67.0,Cameron Jordan,DE,NOR,"$8,650,000"
68.0,Randall Cobb,WR,GNB,"$8,600,000"
69.0,Bradley Roby,CB,DEN,"$8,526,000"
,Darqueze Dennard,CB,CIN,"$8,526,000"
,Jimmie Ward,SS,SFO,"$8,526,000"
72.0,Earl Thomas,DB,SEA,"$8,500,000"
,Alex Mack,C,ATL,"$8,500,000"
,Desmond Trufant,CB,ATL,"$8,500,000"
,Stephon Gilmore,CB,NWE,"$8,500,000"
,Demaryius Thomas,WR,2TM,"$8,500,000"
77.0,Kelvin Benjamin,WR,2TM,"$8,459,000"
78.0,Mike Evans,WR,TAM,"$8,258,000"
79.0,Doug Baldwin,WR,SEA,"$8,250,000"
,Jordan Reed,TE,WAS,"$8,250,000"
,Emmanuel Sanders,WR,DEN,"$8,250,000"
82.0,Joe Staley,T,SFO,"$8,025,000"
83.0,Rob Gronkowski,TE,NWE,"$8,000,000"
,Geno Atkins,DT,CIN,"$8,000,000"
,Case Keenum,QB,DEN,"$8,000,000"
,Buster Skrine,DB,NYJ,"$8,000,000"
,T.J. Lang,T,DET,"$8,000,000"
,Kelvin Beachum,T,NYJ,"$8,000,000"
,Derek Wolfe,DT,DEN,"$8,000,000"
,Cameron Wake,LB,MIA,"$8,000,000"
91.0,Kenny Stills,WR,MIA,"$7,975,000"
92.0,Jonotthan Harrison,C,NYJ,"$7,900,000"
,Andre Branch,DE,MIA,"$7,900,000"
94.0,Kiko Alonso,ILB,MIA,"$7,875,000"
95.0,Damon Harrison,DT,2TM,"$7,750,000"
96.0,Ronald Leary,G,DEN,"$7,650,000"
,Harrison Smith,FS,MIN,"$7,650,000"
98.0,Keenan Allen,WR,LAC,"$7,500,000"
,Devin McCourty,DB,NWE,"$7,500,000"
100.0,Chris Harris,CB,DEN,"$7,400,000"
,Derek Carr,QB,OAK,"$7,400,000"
102.0,Brian Orakpo,LB,TEN,"$7,250,000"
103.0,K.J. Wright,LB,SEA,"$7,200,000"
104.0,Marshal Yanda,T,BAL,"$7,000,000"
,Sean Lee,LB,DAL,"$7,000,000"
,Khalil Mack,OLB,CHI,"$7,000,000"
,Golden Tate,WR,2TM,"$7,000,000"
,Marvin Jones,WR,DET,"$7,000,000"
,Brandon Graham,DE,PHI,"$7,000,000"
,Jabaal Sheard,DL,IND,"$7,000,000"
,Maurkice Pouncey,C,PIT,"$7,000,000"
,Brian Winters,OG,NYJ,"$7,000,000"
113.0,Jimmy Smith,CB,BAL,"$6,882,353"
114.0,Travis Kelce,TE,KAN,"$6,800,000"
115.0,Jason Peters,T,PHI,"$6,750,000"
116.0,Pierre Garcon,WR,SFO,"$6,625,000"
