Rk,Player,Pos,Tm,Salary
117.0,Mike Daniels,DT,GNB,"$6,600,000"
118.0,William Gholston,DE,TAM,"$6,500,000"
,Jared Veldheer,T,DEN,"$6,500,000"
,Eric Weddle,DB,BAL,"$6,500,000"
,Jordan Jenkins,OLB,NYJ,"$6,500,000"
,Kareem Jackson,DB,HOU,"$6,500,000"
,Derrick Morgan,DE,TEN,"$6,500,000"
124.0,Mark Barron,LB,LAR,"$6,499,999"
125.0,Janoris Jenkins,CB,NYG,"$6,400,000"
126.0,Jerry Hughes,DE,BUF,"$6,350,000"
127.0,Duane Brown,G,SEA,"$6,250,000"
,Mario Addison,DE,CAR,"$6,250,000"
129.0,Jimmy Garoppolo,QB,SFO,"$6,200,000"
130.0,Mohamed Sanu,WR,ATL,"$6,125,000"
131.0,LeSean McCoy,RB,BUF,"$6,075,000"
132.0,Kyle Rudolph,TE,MIN,"$6,025,000"
133.0,Anthony Castonzo,OL,IND,"$6,000,000"
,Matt Ryan,QB,ATL,"$6,000,000"
,Dion Sims,TE,CHI,"$6,000,000"
,Jason Kelce,OL,PHI,"$6,000,000"
,Rodney McLeod,S,PHI,"$6,000,000"
,Tyrone Crawford,DE,DAL,"$6,000,000"
,Trumaine Johnson,CB,NYJ,"$6,000,000"
140.0,Ha Ha Clinton-Dix,FS,2TM,"$5,957,000"
141.0,Nate Solder,T,NYG,"$5,900,000"
142.0,Bryan Bulaga,T,GNB,"$5,850,000"
143.0,Jourdan Lewis,CB,DAL,"$5,800,000"
,Danny Trevathan,OLB,CHI,"$5,800,000"
,Sheldon Richardson,DT,MIN,"$5,800,000"
146.0,Tashaun Gipson,DB,JAX,"$5,750,000"
,Dont'a Hightower,ILB,NWE,"$5,750,000"
,Travis Benjamin,WR,LAC,"$5,750,000"
149.0,Mitchell Schwartz,T,KAN,"$5,700,000"
150.0,Donte Moncrief,WR,JAX,"$5,600,000"
151.0,Joel Bitonio,OT,CLE,"$5,500,000"
,Jake Matthews,OT,ATL,"$5,500,000"
153.0,Allen Bailey,DL,KAN,"$5,400,000"
154.0,Rodger Saffold,T,LAR,"$5,375,000"
155.0,Michael Brockers,DT,LAR,"$5,250,000"
,Jermaine Gresham,TE,ARI,"$5,250,000"
157.0,Mike Iupati,G,ARI,"$5,000,000"
,J.C. Tretter,OG,CLE,"$5,000,000"
,Ryan Schraeder,T,ATL,"$5,000,000"
,Sam Bradford,QB,ARI,"$5,000,000"
,Josh McCown,QB,NYJ,"$5,000,000"
,Torrey Smith,WR,CAR,"$5,000,000"
,Jared Cook,TE,OAK,"$5,000,000"
,Brandon Marshall,OLB,DEN,"$5,000,000"
,Mike Pouncey,OL,LAC,"$5,000,000"
,Blake Bortles,QB,JAX,"$5,000,000"
,Christian Kirksey,OLB,CLE,"$5,000,000"
,Spencer Long,OG,NYJ,"$5,000,000"
,Jermaine Kearse,WR,NYJ,"$5,000,000"
,Lamar Miller,RB,HOU,"$5,000,000"
171.0,Charles Leno,OG,CHI,"$4,900,000"
172.0,Dre Kirkpatrick,CB,CIN,"$4,750,000"
,Whitney Mercilus,DE,HOU,"$4,750,000"
174.0,Trai Turner,OG,CAR,"$4,703,000"
175.0,Michael Johnson,DE,CIN,"$4,550,000"
,Clint Boling,OL,CIN,"$4,550,000"
177.0,Max Unger,C,NOR,"$4,500,000"
,Akiem Hicks,DE,CHI,"$4,500,000"
,Barry Church,DB,JAX,"$4,500,000"
,Brandon Mebane,DT,LAC,"$4,500,000"
,Darian Stewart,DB,DEN,"$4,500,000"
,Ryan Kalil,C,CAR,"$4,500,000"
,Jahleel Addae,S,LAC,"$4,500,000"
,Ben Jones,C,TEN,"$4,500,000"
,Charles Clay,TE,BUF,"$4,500,000"
,Brandon Carr,DB,BAL,"$4,500,000"
187.0,James Carpenter,OL,NYJ,"$4,450,000"
188.0,La'el Collins,OT,DAL,"$4,350,000"
189.0,Gabe Jackson,OG,OAK,"$4,250,000"
,Larry Warford,OG,NOR,"$4,250,000"
,Bobby Massie,T,CHI,"$4,250,000"
192.0,A.J. Klein,ILB,NOR,"$4,100,000"
193.0,Marcus Gilbert,OL,PIT,"$4,050,000"
194.0,Tom Brady,QB,NWE,"$4,000,000"
,Casey Hayward,DB,LAC,"$4,000,000"
,Marcus Cannon,OL,NWE,"$4,000,000"
,Bilal Powell,RB,NYJ,"$4,000,000"
,Jermey Parnell,T,JAX,"$4,000,000"
,William Hayes,DE,MIA,"$4,000,000"
,DaQuan Jones,DT,TEN,"$4,000,000"
,Nick Foles,QB,PHI,"$4,000,000"
,Mark Ingram,RB,NOR,"$4,000,000"
,Avery Williamson,ILB,NYJ,"$4,000,000"
,Brandin Cooks,WR,LAR,"$4,000,000"
,Terrell Suggs,LB-DE,BAL,"$4,000,000"
,Allen Robinson,WR,CHI,"$4,000,000"
207.0,Demar Dotson,T,TAM,"$3,975,000"
208.0,Mike Remmers,T,MIN,"$3,900,000"
,Everson Griffen,DE,MIN,"$3,900,000"
,Jack Doyle,TE,IND,"$3,900,000"
211.0,Glover Quin,DB,DET,"$3,850,000"
,Adam Thielen,WR,MIN,"$3,850,000"
,Morris Claiborne,CB,NYJ,"$3,850,000"
214.0,Vontaze Burfict,LB,CIN,"$3,810,000"
215.0,Stacy McGee,DT,WAS,"$3,750,000"
,Vernon Davis,TE,WAS,"$3,750,000"
217.0,Micah Hyde,CB,BUF,"$3,700,000"
,Domata Peko,DT,DEN,"$3,700,000"
219.0,Daniel Sorensen,S,KAN,"$3,650,000"
,Latavius Murray,RB,MIN,"$3,650,000"
221.0,Dante Fowler,OLB,2TM,"$3,638,216"
222.0,Brent Grimes,DB,TAM,"$3,500,000"
,Star Lotulelei,DT,BUF,"$3,500,000"
,Jarvis Landry,WR,CLE,"$3,500,000"
,Prince Amukamara,CB,CHI,"$3,500,000"
,Terrance Williams,WR,DAL,"$3,500,000"
,Malcolm Butler,CB,TEN,"$3,500,000"
,Thomas Davis,LB,CAR,"$3,500,000"
,Andy Levitre,G,ATL,"$3,500,000"
230.0,Andrew Sendejo,DB,MIN,"$3,450,000"
231.0,Jordy Nelson,WR,OAK,"$3,400,000"
232.0,Dwayne Allen,TE,NWE,"$3,380,000"
233.0,Laurent Duvernay-Tardif,OT,KAN,"$3,310,000"
234.0,Cole Beasley,WR,DAL,"$3,250,000"
,Morgan Moses,OT,WAS,"$3,250,000"
,Andre Hal,CB,HOU,"$3,250,000"
237.0,Shawn Williams,SS,CIN,"$3,200,000"
,Stephen Gostkowski,K,NWE,"$3,200,000"
239.0,Mason Crosby,K,GNB,"$3,150,000"
240.0,Steve McLendon,DT,NYJ,"$3,125,000"
241.0,Giovani Bernard,RB,CIN,"$3,100,000"
,Tahir Whitehead,OLB,OAK,"$3,100,000"
243.0,Tyson Alualu,DT,PIT,"$3,000,000"
,Abry Jones,DT,JAX,"$3,000,000"
,Ricky Wagner,OT,DET,"$3,000,000"
,Malcolm Smith,OLB,SFO,"$3,000,000"
,Denico Autry,DE,IND,"$3,000,000"
,Brooks Reed,DL,ATL,"$3,000,000"
,Donald Penn,T,OAK,"$3,000,000"
,Todd Davis,LB,DEN,"$3,000,000"
,Ted Ginn,WR,NOR,"$3,000,000"
,Timmy Jernigan,DT,PHI,"$3,000,000"
,Telvin Smith,ILB,JAX,"$3,000,000"
,Bryan Anger,P,TAM,"$3,000,000"
,Brett Kern,P,TEN,"$3,000,000"
,Weston Richburg,C,SFO,"$3,000,000"
,Antoine Bethea,DB,ARI,"$3,000,000"
,Chris Hogan,WR,NWE,"$3,000,000"
,Vinny Curry,DE,TAM,"$3,000,000"
,Cordarrelle Patterson,WR,NWE,"$3,000,000"
,Alec Ogletree,OLB,NYG,"$3,000,000"
262.0,Jared Goff,QB,LAR,"$2,989,788"
263.0,Leonard Williams,DT,NYJ,"$2,975,572"
264.0,Corey Coleman,WR,NYG,"$2,955,922"
265.0,Justin Tucker,K,BAL,"$2,950,000"
,Danny Amendola,WR,MIA,"$2,950,000"
267.0,Adam Humphries,WR,TAM,"$2,914,000"
,Corey Grant,RB,JAX,"$2,914,000"
,Shaquil Barrett,OLB,DEN,"$2,914,000"
,Ben Garland,DL,ATL,"$2,914,000"
,Quincy Enunwa,WR,NYJ,"$2,914,000"
,Justin Coleman,CB,SEA,"$2,914,000"
,Brett Jones,C,MIN,"$2,914,000"
,Ty Nsekhe,T,WAS,"$2,914,000"
,Tyrell Williams,WR,LAC,"$2,914,000"
,Matt Paradis,C,DEN,"$2,914,000"
277.0,Trey Burton,TE,CHI,"$2,800,000"
,Colt McCoy,QB,WAS,"$2,800,000"
279.0,Kyle Juszczyk,FB,SFO,"$2,750,000"
,Matt Schaub,QB,ATL,"$2,750,000"
,Justin Britt,OT,SEA,"$2,750,000"
,Sam Koch,P,BAL,"$2,750,000"
283.0,Darius Slay,CB,DET,"$2,726,269"
284.0,Ezekiel Elliott,RB,DAL,"$2,718,758"
285.0,Theo Riddick,RB,DET,"$2,700,000"
,Wesley Woodyard,LB,TEN,"$2,700,000"
287.0,Kevin White,WR,CHI,"$2,693,597"
288.0,Ramon Foster,T,PIT,"$2,675,000"
289.0,Trent Murphy,DE,BUF,"$2,625,000"
290.0,Akeem Spence,DT,MIA,"$2,575,000"
291.0,Jalen Ramsey,CB,JAX,"$2,572,818"
292.0,Delanie Walker,TE,TEN,"$2,570,000"
293.0,Britton Colquitt,P,CLE,"$2,550,000"
294.0,Daniel Kilgore,OL,MIA,"$2,525,000"
295.0,Chris Long,DE,PHI,"$2,500,000"
,Phil Dawson,K,ARI,"$2,500,000"
,Justin Ellis,DT,OAK,"$2,500,000"
,Taylor Gabriel,WR,CHI,"$2,500,000"
,Stefen Wisniewski,OL,PHI,"$2,500,000"
,Allen Hurns,WR,DAL,"$2,500,000"
,Aaron Colvin,CB,HOU,"$2,500,000"
,Jordan Poyer,CB,BUF,"$2,500,000"
,Chris Hubbard,G,CLE,"$2,500,000"
,Marshawn Lynch,RB,OAK,"$2,500,000"
,Josh Kline,OL,TEN,"$2,500,000"
306.0,Rhett Ellison,FB,NYG,"$2,475,000"
307.0,Lorenzo Alexander,LB,BUF,"$2,450,000"
308.0,Johnathan Joseph,DB,HOU,"$2,400,000"
309.0,Sam Martin,P,DET,"$2,325,000"
310.0,Ronnie Stanley,OT,BAL,"$2,312,212"
311.0,Nevin Lawson,CB,DET,"$2,300,000"
312.0,Brandon McManus,K,DEN,"$2,250,000"
,Ryan Succop,K,TEN,"$2,250,000"
,Devon Kennard,OLB,DET,"$2,250,000"
,Jack Crawford,DE,ATL,"$2,250,000"
,Beau Allen,DT,TAM,"$2,250,000"
,Seth Roberts,WR,OAK,"$2,250,000"
,Julius Peppers,DE,CAR,"$2,250,000"
,Vincent Rey,LB,CIN,"$2,250,000"
,D.J. Hayden,CB,JAX,"$2,250,000"
,Brandon Fusco,OL,ATL,"$2,250,000"
,Ryan Griffin,TE,HOU,"$2,250,000"
,Vontae Davis,DB,BUF,"$2,250,000"
,Kareem Martin,DE,NYG,"$2,250,000"
,Kyle Williams,DT,BUF,"$2,250,000"
,Chris Conte,DB,TAM,"$2,250,000"
,Earl Mitchell,DT,SFO,"$2,250,000"
328.0,Kyle Long,OT,CHI,"$2,248,158"
329.0,David Irving,DE,DAL,"$2,238,352"
330.0,Trae Waynes,CB,MIN,"$2,200,142"
331.0,Aaron Lynch,DE,CHI,"$2,200,000"
,Matthew Bosher,P,ATL,"$2,200,000"
333.0,Nickell Robey-Coleman,CB,LAR,"$2,125,000"
334.0,Greg Zuerlein,K,LAR,"$2,050,000"
335.0,Danny Shelton,DT,NWE,"$2,030,954"
336.0,T.J. Carrie,CB,CLE,"$2,000,000"
,Tramaine Brock,DB,DEN,"$2,000,000"
,Chase Daniel,QB,CHI,"$2,000,000"
,Derrick Shelby,DE,ATL,"$2,000,000"
,Devonta Freeman,RB,ATL,"$2,000,000"
,Anthony Sherman,RB,KAN,"$2,000,000"
,Zack Martin,OT,DAL,"$2,000,000"
,Marcus Gilchrist,DB,OAK,"$2,000,000"
,Robbie Gould,K,SFO,"$2,000,000"
,Damion Square,DE,LAC,"$2,000,000"
,Tyrann Mathieu,CB,HOU,"$2,000,000"
,Lee Smith,TE,OAK,"$2,000,000"
,Bennie Logan,DT,TEN,"$2,000,000"
,Matt Prater,K,DET,"$2,000,000"
,Von Miller,LB,DEN,"$2,000,000"
,Ryan Jensen,T,TAM,"$2,000,000"
,Ryan Fitzpatrick,QB,TAM,"$2,000,000"
,Richard Sherman,DB,SFO,"$2,000,000"
,Andrew Norwell,G,JAX,"$2,000,000"
,Kyle Van Noy,OLB,NWE,"$2,000,000"
,Dion Lewis,RB,TEN,"$2,000,000"
,Tyler Lockett,WR,SEA,"$2,000,000"
358.0,Chris Thompson,RB,WAS,"$1,996,000"
359.0,Andrus Peat,OT,NOR,"$1,988,657"
360.0,DeVante Parker,WR,MIA,"$1,918,165"
361.0,Ricardo Allen,CB,ATL,"$1,914,000"
362.0,Jordan Berry,P,PIT,"$1,907,000"
,JJ Nelson,WR,ARI,"$1,907,000"
,Tyeler Davison,DT,NOR,"$1,907,000"
,Greg Mancz,C,HOU,"$1,907,000"
,Rontez Miles,FS,NYJ,"$1,907,000"
,Jamison Crowder,WR,WAS,"$1,907,000"
,Za'Darius Smith,DE,BAL,"$1,907,000"
,T.J. Clemmings,OT,OAK,"$1,907,000"
,T.J. Jones,WR,DET,"$1,907,000"
,Stefon Diggs,WR,MIN,"$1,907,000"
,Jay Ajayi,RB,PHI,"$1,907,000"
,Daryl Williams,OT,CAR,"$1,907,000"
,Kwon Alexander,OLB,TAM,"$1,907,000"
,A.J. Cann,OG,JAX,"$1,907,000"
,Anthony Chickillo,DE,PIT,"$1,907,000"
,Adrian Amos,FS,CHI,"$1,907,000"
,Danielle Hunter,DE,MIN,"$1,907,000"
,Dion Jordan,DE,SEA,"$1,907,000"
,Bryce Callahan,CB,CHI,"$1,907,000"
,Grady Jarrett,DT,ATL,"$1,907,000"
,Trey Flowers,DE,NWE,"$1,907,000"
,Josh Bellamy,WR,CHI,"$1,907,000"
,Kyle Emanuel,OLB,LAC,"$1,907,000"
,Jesse James,TE,PIT,"$1,907,000"
,Henry Anderson,DE,NYJ,"$1,907,000"
,Brent Qvale,T,NYJ,"$1,907,000"
,Quinton Spain,OG,TEN,"$1,907,000"
,Neal Sterling,WR,NYJ,"$1,907,000"
,Max Garcia,C,DEN,"$1,907,000"
,Jordan Hicks,OLB,PHI,"$1,907,000"
392.0,Captain Munnerlyn,DB,CAR,"$1,900,000"
,Nick Perry,DE,GNB,"$1,900,000"
394.0,Tyler Kroft,TE,CIN,"$1,897,000"
,Steven Nelson,CB,KAN,"$1,897,000"
396.0,Jack Conklin,OT,TEN,"$1,895,242"
397.0,Eli Harold,OLB,DET,"$1,892,000"
398.0,Melvin Gordon,RB,LAC,"$1,889,968"
399.0,Leonard Floyd,OLB,CHI,"$1,884,806"
400.0,David Johnson,RB,ARI,"$1,882,500"
401.0,Chris Conley,WR,KAN,"$1,882,000"
402.0,John Miller,OG,BUF,"$1,872,000"
403.0,Graham Gano,K,CAR,"$1,850,000"
,Demetrius Harris,TE,KAN,"$1,850,000"
,Rashaan Melvin,CB,OAK,"$1,850,000"
406.0,Myles Garrett,DE,CLE,"$1,847,375"
407.0,Eli Apple,CB,2TM,"$1,827,484"
408.0,Kevin Johnson,CB,HOU,"$1,805,375"
409.0,Josh Martin,LB,NYJ,"$1,800,000"
,Josh Hill,TE,NOR,"$1,800,000"
,Daren Bates,LB,TEN,"$1,800,000"
412.0,Arik Armstead,DE,SFO,"$1,777,177"
413.0,Dan Bailey,K,MIN,"$1,750,000"
,Garry Gilliam,T,SFO,"$1,750,000"
,Stephen Hauschka,K,BUF,"$1,750,000"
,Brynden Trawick,S,TEN,"$1,750,000"
,E.J. Gaines,CB,CLE,"$1,750,000"
418.0,Marcus Peters,CB,LAR,"$1,741,931"
419.0,Vernon Hargreaves,CB,TAM,"$1,738,878"
420.0,Cameron Erving,OT,KAN,"$1,720,781"
421.0,Cedric Ogbuehi,OT,CIN,"$1,706,684"
422.0,Kurt Coleman,LB,NOR,"$1,700,000"
,Seantrel Henderson,OT,HOU,"$1,700,000"
,Manti Te'o,ILB,NOR,"$1,700,000"
425.0,Leonard Fournette,RB,JAX,"$1,699,129"
426.0,Bud Dupree,DE,PIT,"$1,692,583"
427.0,Jamon Brown,OT,2TM,"$1,682,647"
428.0,Shane Ray,DE,DEN,"$1,678,484"
429.0,Michael Bennett,DE,PHI,"$1,650,000"
,Garrett Celek,TE,SFO,"$1,650,000"
431.0,Sheldon Rankins,DT,NOR,"$1,613,786"
432.0,Byron Jones,CB,DAL,"$1,607,991"
433.0,Laken Tomlinson,OG,SFO,"$1,600,941"
434.0,Neiko Thorpe,DB,SEA,"$1,600,000"
,Jason McCourty,DB,NWE,"$1,600,000"
,Jacquizz Rodgers,RB,TAM,"$1,600,000"
,Muhammad Wilkerson,DT,GNB,"$1,600,000"
438.0,Laremy Tunsil,OT,MIA,"$1,582,514"
439.0,Jamize Olawale,FB,DAL,"$1,540,000"
440.0,Clinton McDonald,DT,OAK,"$1,534,118"
,Johnathan Hankins,DT,OAK,"$1,534,118"
442.0,Karl Joseph,SS,OAK,"$1,530,392"
443.0,Julian Edelman,WR,NWE,"$1,529,412"
444.0,Mike Pennel,DT,NYJ,"$1,500,000"
,Adrian Clayborn,DL,NWE,"$1,500,000"
,Zach Fulton,OG,HOU,"$1,500,000"
,Paul Richardson,WR,WAS,"$1,500,000"
,Ryan Groy,OG,BUF,"$1,500,000"
,Billy Turner,OT,DEN,"$1,500,000"
,Patrick DiMarco,FB,BUF,"$1,500,000"
,Mike Adams,DB,CAR,"$1,500,000"
,T.J. McDonald,FS,MIA,"$1,500,000"
,Antonio Gates,TE,LAC,"$1,500,000"
,Terrance Mitchell,CB,CLE,"$1,500,000"
,Jordan Mills,OT,BUF,"$1,500,000"
,Niles Paul,WR,JAX,"$1,500,000"
,Cody Davis,S,JAX,"$1,500,000"
,Blaine Gabbert,QB,TEN,"$1,500,000"
,Ted Larsen,C,MIA,"$1,500,000"
,Luke Willson,TE,DET,"$1,500,000"
,Jeff Heath,S,DAL,"$1,500,000"
,Al Woods,DT,IND,"$1,500,000"
,Lerentee McCray,LB,JAX,"$1,500,000"
,Bradley McDougald,FS,SEA,"$1,500,000"
,Margus Hunt,DE,IND,"$1,500,000"
,Carlos Hyde,RB,2TM,"$1,500,000"
,Duron Harmon,FS,NWE,"$1,500,000"
,Marquette King,P,DEN,"$1,500,000"
,Tramon Williams,DB,GNB,"$1,500,000"
,Tavon Wilson,FS,DET,"$1,500,000"
,Bruce Irvin,DE,2TM,"$1,500,000"
472.0,Malcom Brown,DT,NWE,"$1,473,167"
473.0,Odell Beckham,WR,NYG,"$1,459,000"
474.0,D.J. Humphries,OT,ARI,"$1,450,288"
475.0,Jimmy Graham,TE,GNB,"$1,450,000"
,Sam Acho,OLB,CHI,"$1,450,000"
,Spencer Ware,RB,KAN,"$1,450,000"
,Marquise Goodwin,WR,SFO,"$1,450,000"
479.0,Taylor Decker,OT,DET,"$1,446,998"
480.0,Keanu Neal,FS,ATL,"$1,426,150"
481.0,Kevin Pierre-Louis,OLB,NYJ,"$1,411,765"
482.0,Ryan Kelly,C,IND,"$1,400,089"
483.0,Eric Kush,C,CHI,"$1,400,000"
,Jonathan Stewart,RB,NYG,"$1,400,000"
,Lawrence Guy,DT,NWE,"$1,400,000"
,Coty Sensabaugh,CB,PIT,"$1,400,000"
,Kevin Huber,P,CIN,"$1,400,000"
,Terrence Brooks,FS,NYJ,"$1,400,000"
,Sylvester Williams,DT,2TM,"$1,400,000"
,Anthony Levine,S,BAL,"$1,400,000"
491.0,Shaq Lawson,DE,BUF,"$1,384,452"
492.0,Darron Lee,OLB,NYJ,"$1,379,241"
493.0,Will Fuller,WR,HOU,"$1,378,028"
494.0,Josh Doctson,WR,WAS,"$1,363,604"
495.0,Mike Williams,WR,LAC,"$1,362,724"
496.0,Laquon Treadwell,WR,MIN,"$1,353,180"
497.0,Tress Way,P,WAS,"$1,350,000"
498.0,William Jackson,CB,CIN,"$1,332,331"
499.0,Artie Burns,CB,PIT,"$1,321,907"
500.0,Kenny Clark,DT,GNB,"$1,301,059"
501.0,Derrick Johnson,LB,OAK,"$1,300,000"
,Rafael Bush,S,BUF,"$1,300,000"
,Vlad Ducasse,G,BUF,"$1,300,000"
,Ryan Allen,P,NWE,"$1,300,000"
505.0,Joshua Garnett,OG,SFO,"$1,295,846"
506.0,Craig Robertson,LB,NOR,"$1,275,000"
507.0,Connor Barwin,DE,NYG,"$1,270,000"
508.0,Landon Collins,SS,NYG,"$1,269,620"
509.0,Mario Edwards,DE,NYG,"$1,255,521"
510.0,Ethan Westbrooks,DE,LAR,"$1,250,000"
,Senio Kelemete,T,HOU,"$1,250,000"
,K'Waun Williams,DB,SFO,"$1,250,000"
,Cody Parkey,K,CHI,"$1,250,000"
,Kenny Wiggins,T,DET,"$1,250,000"
,Zach Kerr,NT,DEN,"$1,250,000"
,Eric Ebron,TE,IND,"$1,250,000"
,Corey Peters,DT,ARI,"$1,250,000"
,Johnson Bademosi,DB,HOU,"$1,250,000"
,Lance Kendricks,TE,GNB,"$1,250,000"
520.0,Christian McCaffrey,RB,CAR,"$1,248,695"
521.0,John Ross,WR,CIN,"$1,242,994"
522.0,T.J. Yeldon,RB,JAX,"$1,241,421"
523.0,Robert Nkemdiche,DT,ARI,"$1,231,873"
