Rk,Player,Pos,Tm,Salary,year
109.0,Kenny Stills,WR,HOU,"$7,975,000",2019
110.0,Charles Leno,OG,CHI,"$7,900,000",2019
111.0,Mike Daniels,DT,DET,"$7,800,000",2019
,Chris Harris,CB,DEN,"$7,800,000",2019
113.0,Michael Brockers,DT,LAR,"$7,777,777",2019
114.0,Larry Warford,OG,NOR,"$7,650,000",2019
115.0,Jabaal Sheard,DL,IND,"$7,500,000",2019
,Travis Kelce,TE,KAN,"$7,500,000",2019
,T.J. Carrie,CB,CLE,"$7,500,000",2019
,Aaron Colvin,CB,2TM,"$7,500,000",2019
119.0,Kyle Rudolph,TE,MIN,"$7,275,000",2019
120.0,Marqise Lee,WR,JAX,"$7,250,000",2019
,Cordy Glenn,T,CIN,"$7,250,000",2019
122.0,Star Lotulelei,DT,BUF,"$7,150,000",2019
123.0,David DeCastro,G,PIT,"$7,070,000",2019
124.0,Christian Kirksey,OLB,CLE,"$7,000,000",2019
,Tyrone Crawford,DE,DAL,"$7,000,000",2019
,Donovan Smith,OT,TAM,"$7,000,000",2019
,Dont'a Hightower,ILB,NWE,"$7,000,000",2019
,Marshal Yanda,G,BAL,"$7,000,000",2019
,Richard Sherman,DB,SFO,"$7,000,000",2019
,Cameron Brate,TE,TAM,"$7,000,000",2019
131.0,Albert Wilson,WR,MIA,"$6,975,000",2019
132.0,Jerry Hughes,DE,BUF,"$6,800,000",2019
133.0,Gabe Jackson,OG,OAK,"$6,750,000",2019
,Damon Harrison,DT,DET,"$6,750,000",2019
135.0,Trey Burton,TE,CHI,"$6,700,000",2019
136.0,La'el Collins,OT,DAL,"$6,516,750",2019
137.0,Marvin Jones,WR,DET,"$6,500,000",2019
,Zach Fulton,OG,HOU,"$6,500,000",2019
,Jake Matthews,OT,ATL,"$6,500,000",2019
,Mario Addison,DE,CAR,"$6,500,000",2019
,Anthony Hitchens,OLB,KAN,"$6,500,000",2019
,Joel Bitonio,OT,CLE,"$6,500,000",2019
143.0,Kiko Alonso,ILB,NOR,"$6,485,000",2019
144.0,Everson Griffen,DE,MIN,"$6,400,000",2019
145.0,Byron Jones,CB,DAL,"$6,266,000",2019
146.0,Anthony Castonzo,LT,IND,"$6,250,000",2019
147.0,Laurent Duvernay-Tardif,OT,KAN,"$6,203,000",2019
148.0,LeSean McCoy,RB,KAN,"$6,175,000",2019
149.0,Chris Hubbard,G,CLE,"$6,150,000",2019
150.0,DaQuan Jones,DT,TEN,"$6,000,000",2019
,Stephon Tuitt,DT,PIT,"$6,000,000",2019
,Mitchell Schwartz,T,KAN,"$6,000,000",2019
,Robert Quinn,DE,DAL,"$6,000,000",2019
,Mohamed Sanu,WR,2TM,"$6,000,000",2019
,Travis Frederick,C,DAL,"$6,000,000",2019
,Benardrick McKinney,ILB,HOU,"$6,000,000",2019
,Robert Woods,WR,LAR,"$6,000,000",2019
,Brian Winters,OG,NYJ,"$6,000,000",2019
,Mike Pouncey,C,LAC,"$6,000,000",2019
160.0,Demario Davis,OLB,NOR,"$5,950,000",2019
161.0,Adam Thielen,WR,MIN,"$5,850,000",2019
162.0,Danny Trevathan,OLB,CHI,"$5,800,000",2019
,Trent Murphy,DE,BUF,"$5,800,000",2019
,Bryan Bulaga,T,GNB,"$5,800,000",2019
165.0,D.J. Hayden,CB,JAX,"$5,750,000",2019
,Whitney Mercilus,DE,HOU,"$5,750,000",2019
167.0,David Johnson,RB,ARI,"$5,700,000",2019
168.0,Melvin Gordon,RB,LAC,"$5,605,000",2019
169.0,Bobby McCain,CB,MIA,"$5,600,000",2019
170.0,J.C. Tretter,OG,CLE,"$5,500,000",2019
,Weston Richburg,C,SFO,"$5,500,000",2019
,Greg Robinson,OT,CLE,"$5,500,000",2019
,Brandon Linder,OG,JAX,"$5,500,000",2019
,Taylor Gabriel,WR,CHI,"$5,500,000",2019
,Marcus Cannon,OL,NWE,"$5,500,000",2019
176.0,Trai Turner,OG,CAR,"$5,297,000",2019
177.0,Eric Ebron,TE,IND,"$5,250,000",2019
,Travis Benjamin,WR,LAC,"$5,250,000",2019
,Ndamukong Suh,DT,TAM,"$5,250,000",2019
180.0,Jack Doyle,TE,IND,"$5,150,000",2019
181.0,Nick Foles,QB,JAX,"$5,000,000",2019
,Tyrell Williams,WR,OAK,"$5,000,000",2019
,Alejandro Villanueva,T,PIT,"$5,000,000",2019
,Justin Pugh,OG,ARI,"$5,000,000",2019
,Russell Wilson,QB,SEA,"$5,000,000",2019
,Todd Gurley,RB,LAR,"$5,000,000",2019
,Trent Brown,OT,OAK,"$5,000,000",2019
,Paul Richardson,WR,WAS,"$5,000,000",2019
,Ja'Wuan James,OT,DEN,"$5,000,000",2019
,Bradley Roby,CB,HOU,"$5,000,000",2019
191.0,Robbie Gould,K,SFO,"$4,971,000",2019
192.0,Dee Ford,DE,SFO,"$4,750,000",2019
,Vernon Davis,TE,WAS,"$4,750,000",2019
,Morgan Moses,OT,WAS,"$4,750,000",2019
195.0,Lamarcus Joyner,CB,OAK,"$4,700,000",2019
196.0,Dontari Poe,DT,CAR,"$4,500,000",2019
,Ben Jones,C,TEN,"$4,500,000",2019
,Brandon Carr,DB,BAL,"$4,500,000",2019
,Justin Britt,OT,SEA,"$4,500,000",2019
200.0,Rhett Ellison,FB,NYG,"$4,475,000",2019
201.0,Mitch Morse,OT,BUF,"$4,400,000",2019
202.0,Corey Linsley,C,GNB,"$4,300,000",2019
203.0,Jared Goff,QB,LAR,"$4,259,683",2019
204.0,Eric Weddle,DB,LAR,"$4,250,524",2019
205.0,Kyle Van Noy,OLB,NWE,"$4,250,000",2019
,Danny Amendola,WR,DET,"$4,250,000",2019
,D.J. Swearinger,FS,3TM,"$4,250,000",2019
208.0,Kyle Juszczyk,FB,SFO,"$4,200,000",2019
,Vance McDonald,TE,PIT,"$4,200,000",2019
210.0,Eric Kendricks,ILB,MIN,"$4,150,000",2019
211.0,A.J. Klein,ILB,NOR,"$4,100,000",2019
212.0,Delanie Walker,TE,TEN,"$4,080,000",2019
213.0,Patrick Robinson,DB,NOR,"$4,000,000",2019
,Alec Ogletree,OLB,NYG,"$4,000,000",2019
,Todd Davis,LB,DEN,"$4,000,000",2019
,Allen Hurns,WR,MIA,"$4,000,000",2019
,Shaq Mason,G,NWE,"$4,000,000",2019
,Chase Daniel,QB,CHI,"$4,000,000",2019
,Dion Lewis,RB,TEN,"$4,000,000",2019
220.0,Demar Dotson,T,TAM,"$3,975,000",2019
221.0,Micah Hyde,CB,BUF,"$3,950,000",2019
,Rashan Gary,DL,GNB,"$3,950,000",2019
223.0,Tyler Lockett,WR,SEA,"$3,907,000",2019
224.0,Ezekiel Elliott,RB,DAL,"$3,853,137",2019
225.0,John Brown,WR,BUF,"$3,800,000",2019
226.0,Devonta Freeman,RB,ATL,"$3,750,000",2019
,William Gholston,DE,TAM,"$3,750,000",2019
228.0,Jalen Ramsey,CB,2TM,"$3,634,227",2019
229.0,Daniel Sorensen,S,KAN,"$3,600,000",2019
230.0,Rodger Saffold,T,TEN,"$3,500,000",2019
,James Hurst,OT,BAL,"$3,500,000",2019
,Shawn Williams,SS,CIN,"$3,500,000",2019
,Devon Kennard,OLB,DET,"$3,500,000",2019
,Case Keenum,QB,WAS,"$3,500,000",2019
,DeVante Parker,WR,MIA,"$3,500,000",2019
,Jason Peters,T,PHI,"$3,500,000",2019
,Ricardo Allen,CB,ATL,"$3,500,000",2019
,Denico Autry,DE,IND,"$3,500,000",2019
239.0,Jimmy Graham,TE,GNB,"$3,450,000",2019
240.0,Barkevious Mingo,OLB,HOU,"$3,400,000",2019
,Giovani Bernard,RB,CIN,"$3,400,000",2019
,Abry Jones,DT,JAX,"$3,400,000",2019
243.0,Nickell Robey-Coleman,CB,LAR,"$3,300,000",2019
244.0,Cameron Wake,LB,TEN,"$3,250,000",2019
,Tramon Williams,DB,GNB,"$3,250,000",2019
,Johnny Hekker,P,LAR,"$3,250,000",2019
,Kareem Martin,DE,NYG,"$3,250,000",2019
,Corey Peters,DT,ARI,"$3,250,000",2019
249.0,Ronnie Stanley,OT,BAL,"$3,243,318",2019
250.0,Myles Garrett,DE,CLE,"$3,229,750",2019
251.0,Mason Crosby,K,GNB,"$3,200,000",2019
,Ty Nsekhe,T,BUF,"$3,200,000",2019
253.0,Sam Koch,P,BAL,"$3,150,000",2019
254.0,Ali Marpet,C,TAM,"$3,125,000",2019
255.0,Darnell Savage,S,GNB,"$3,120,000",2019
256.0,Carlos Dunlap,DE,CIN,"$3,100,000",2019
257.0,Patrick Onwuasor,LB,BAL,"$3,095,000",2019
,B.J. Finney,C,PIT,"$3,095,000",2019
