Rk,Player,Pos,Tm,Cap Hit
,Marshal Yanda,T,BAL,"$6,000,000"
118.0,Donald Penn,T,OAK,"$5,800,000"
,Coby Fleener,TE,NOR,"$5,800,000"
,K.J. Wright,LB,SEA,"$5,800,000"
121.0,Doug Martin,RB,TAM,"$5,764,706"
122.0,Alex Mack,C,ATL,"$5,750,000"
,Tamba Hali,DE,KAN,"$5,750,000"
124.0,Eric Reid,FS,SFO,"$5,676,000"
,Kenny Vaccaro,FS,NOR,"$5,676,000"
126.0,Brandon Linder,OG,JAX,"$5,500,000"
,Haloti Ngata,DT,DET,"$5,500,000"
,Lamar Miller,RB,HOU,"$5,500,000"
,Derek Wolfe,DT,DEN,"$5,500,000"
,Julius Thomas,TE,MIA,"$5,500,000"
131.0,Jerry Hughes,DE,BUF,"$5,400,000"
,Bryan Bulaga,T,GNB,"$5,400,000"
133.0,Carlos Dunlap,DE,CIN,"$5,350,000"
134.0,Gabe Jackson,OG,OAK,"$5,250,000"
,Travis Benjamin,WR,LAC,"$5,250,000"
,Andy Levitre,G,ATL,"$5,250,000"
137.0,Kyle Rudolph,TE,MIN,"$5,150,000"
,Harrison Smith,FS,MIN,"$5,150,000"
139.0,Rishard Matthews,WR,TEN,"$5,000,000"
,Barry Church,DB,JAX,"$5,000,000"
,Mike Mitchell,DB,PIT,"$5,000,000"
,Logan Ryan,CB,TEN,"$5,000,000"
,Sean Smith,DB,OAK,"$5,000,000"
,Melvin Ingram,DE,LAC,"$5,000,000"
,Derek Carr,QB,OAK,"$5,000,000"
,Jay Cutler,QB,MIA,"$5,000,000"
,Tashaun Gipson,DB,JAX,"$5,000,000"
,Mark Barron,LB,LAR,"$5,000,000"
,Brandon Brooks,G,PHI,"$5,000,000"
,Jason Kelce,OL,PHI,"$5,000,000"
151.0,Mitchell Schwartz,T,KAN,"$4,900,000"
152.0,Mychal Kendricks,ILB,PHI,"$4,850,000"
153.0,Rodger Saffold,T,LAR,"$4,847,233"
154.0,Tyler Eifert,TE,CIN,"$4,782,000"
155.0,Jeff Allen,T,HOU,"$4,750,000"
,Jamie Collins,OLB,CLE,"$4,750,000"
,Morgan Burnett,DB,GNB,"$4,750,000"
,Mike Wallace,WR,BAL,"$4,750,000"
,Tyrann Mathieu,CB,ARI,"$4,750,000"
160.0,Josh Sitton,G,CHI,"$4,650,000"
161.0,Charles Clay,TE,BUF,"$4,500,000"
,Cliff Avril,DE,SEA,"$4,500,000"
,Chris Ivory,RB,JAX,"$4,500,000"
,Bruce Irvin,DE,OAK,"$4,500,000"
,Whitney Mercilus,DE,HOU,"$4,500,000"
,Antonio Gates,TE,LAC,"$4,500,000"
,Stephon Gilmore,CB,NWE,"$4,500,000"
,Joe Barksdale,OL,LAC,"$4,500,000"
169.0,James Carpenter,OL,NYJ,"$4,450,000"
170.0,Demar Dotson,T,TAM,"$4,250,000"
,Rob Gronkowski,TE,NWE,"$4,250,000"
172.0,Terron Armstead,OT,NOR,"$4,200,000"
,Bobby Massie,T,CHI,"$4,200,000"
